route_id,service_id,trip_id,direction_id,block_id,shape_id
Sealine,Summer_Mon-Sun,Sealine_Summer_Mon-Sun_In12,1,,Shp_Sealine_Summer_In_FM
Sealine,Summer_Mon-Sun,Sealine_Summer_Mon-Sun_In13,1,,Shp_Sealine_Summer_In_FM
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out1,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out2,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out3,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out4,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out5,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out6,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out7,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out8,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_Out9,0,,Shp_Sandwich_Summer_Out
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In1,1,,Shp_Sandwich_Summer_In_Mor
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In2,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In3,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In4,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In5,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In6,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In7,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In8,1,,Shp_Sandwich_Summer_In
Sandwich,Summer_Mon-Fri,Sandwich_Summer_Mon-Fri_In9,1,,Shp_Sandwich_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out1,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out2,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out3,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out4,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out5,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out6,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out7,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_Out8,0,,Shp_Bourne_Summer_Out
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In1,1,,Shp_Bourne_Summer_In_Short
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In2,1,,Shp_Bourne_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In3,1,,Shp_Bourne_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In4,1,,Shp_Bourne_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In5,1,,Shp_Bourne_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In6,1,,Shp_Bourne_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In7,1,,Shp_Bourne_Summer_In
Bourne,Summer_Mon-Fri,Bourne_Summer_Mon-Fri_In8,1,,Shp_Bourne_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out1,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out2,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out3,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out4,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out5,0,,Shp_FLEX_Summer_Out-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out6,0,,Shp_FLEX_Summer_Out-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out7,0,,Shp_FLEX_Summer_Out-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out8,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out9,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out10,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out11,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out12,0,,Shp_FLEX_Summer_Out
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out13,0,,Shp_FLEX_Summer_Out-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out14,0,,Shp_FLEX_Summer_Out-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_Out15,0,,Shp_FLEX_Summer_Out-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In1,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In2,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In3,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In4,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In5,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In6,1,,Shp_FLEX_Summer_In-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In7,1,,Shp_FLEX_Summer_In-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In8,1,,Shp_FLEX_Summer_In-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In9,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In10,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In11,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In12,1,,Shp_FLEX_Summer_In
