trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
H2O_Summer_Mon-Sun_Out4,10:54:00,10:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out4,11:03:00,11:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out4,11:07:00,11:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out4,11:09:00,11:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out4,11:20:00,11:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out5,10:30:00,10:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out5,10:36:00,10:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out5,10:45:00,10:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out5,10:52:00,10:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out5,10:56:00,10:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out5,10:59:00,10:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out5,11:09:00,11:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out5,11:13:00,11:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out5,11:19:00,11:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out5,11:21:00,11:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out5,11:27:00,11:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out5,11:37:00,11:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out5,11:40:00,11:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out5,11:54:00,11:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out5,12:03:00,12:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out5,12:07:00,12:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out5,12:09:00,12:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out5,12:20:00,12:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out6,11:30:00,11:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out6,11:36:00,11:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out6,11:45:00,11:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out6,11:52:00,11:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out6,11:56:00,11:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out6,11:59:00,11:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out6,12:09:00,12:09:00,PatriotSq,7,0,0
