trip_id,start_time,end_time,headway_secs,exact_times,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,route_id,service_id,direction_id,block_id,shape_id
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,,,ProvinceLandsVC,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,,,PtownAirport,4,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,,,RacePoint,5,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,,,PtownAirport,6,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,,,ProvinceLandsVC,7,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,,,BeechForest,8,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1,9:30:00,9:30:00,MacMillanPier,9,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_RP
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1,9:00:00,9:00:00,MacMillanPier,1,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_HC
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1,,,S&SPtown,2,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_HC
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1,,,HerringCove,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_HC
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1,,,PilgrimsPark,4,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_HC
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1,,,S&SPtown,5,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_HC
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1,9:30:00,9:30:00,MacMillanPier,6,0.0,0.0,Ptown,FallShoulder_Fri-Sat,,,Shp_Ptown_HC
